seed,EVALUATION_PROTOCOL_SAMPLED,EVALUATION_PROTOCOL_FULLRANK,sampled_NDCG@20,sampled_best_epoch,fullrank_NDCG@5,fullrank_NDCG@10,fullrank_NDCG@20,fullrank_Recall@5,fullrank_Recall@10,fullrank_Recall@20,fullrank_Precision@5,fullrank_Precision@10,fullrank_Precision@20,fullrank_MRR,fullrank_HitRate@20,fullrank_MAP@20,CatalogCoverage@20,ARP@20,LongTailShare@20,n_users,seconds
101,SAMPLED_20_NEG,FULL_CATALOG,0.7910674350272833,54,0.042028010112130955,0.051080954959231796,0.06457054012689416,0.040624518953485615,0.06982522630031815,0.11303098096808406,0.03011699693476716,0.026175365885249848,0.02163795708673529,0.09184018507265598,0.2962051547726978,0.029913256792959624,0.7755958689192278,157.26993265121098,0.08691447567240858,23163,2536.4336228370667
202,SAMPLED_20_NEG,FULL_CATALOG,0.7905600206053377,70,0.03811883382314241,0.04726567587251775,0.06086621875375877,0.038040303122769986,0.06639863929345084,0.10979568061623597,0.026749557483918367,0.023593662306265775,0.019999568276995477,0.08435322842363321,0.28377153218495016,0.028155448713957292,0.7778608981152464,197.79727366921384,0.0919116694728662,23163,2582.0863711833954
303,SAMPLED_20_NEG,FULL_CATALOG,0.7907677069774596,67,0.04406152601176158,0.053364760355732885,0.06662964886130346,0.043173941271352934,0.07273813060613635,0.11557894080283329,0.030989077407935817,0.026792729784572183,0.021795535984114756,0.09327317883075303,0.2979752190994258,0.03181441077098183,0.8429441223531368,153.00428269222465,0.14852998316280275,23163,2557.0105378627777
