seed,EVALUATION_PROTOCOL_SAMPLED,EVALUATION_PROTOCOL_FULLRANK,sampled_NDCG@20,sampled_best_epoch,fullrank_NDCG@5,fullrank_NDCG@10,fullrank_NDCG@20,fullrank_Recall@5,fullrank_Recall@10,fullrank_Recall@20,fullrank_Precision@5,fullrank_Precision@10,fullrank_Precision@20,fullrank_MRR,fullrank_HitRate@20,fullrank_MAP@20,CatalogCoverage@20,ARP@20,LongTailShare@20,n_users,seconds
101,SAMPLED_20_NEG,FULL_CATALOG,0.47502363900445105,97,0.005370542512142297,0.006893815211689041,0.008548457712003259,0.006798867939140671,0.011076999592406421,0.0161668341948643,0.003548763113586349,0.003073867806415415,0.00246945559728874,0.013704203376237128,0.045589949488408235,0.003917543927213561,0.0009351037965214139,472.62254241678534,0.0,23163,2269.4353308677673
202,SAMPLED_20_NEG,FULL_CATALOG,0.47540741171344625,58,0.0059853582695930975,0.007416529517123439,0.009519829138713963,0.006546706481461507,0.010450016509847036,0.016752372165572738,0.0033069982299356957,0.0029270819841989556,0.0026184000345377922,0.015519760454731682,0.04813711522687044,0.00480657749758103,0.0009143237121542713,503.35176358848173,0.0,23163,2272.8811042308807
303,SAMPLED_20_NEG,FULL_CATALOG,0.4759532262698121,77,0.006190287303326912,0.0077625718114659945,0.009935208713535091,0.006753249290089141,0.011114432781197005,0.017690695938605335,0.0035055908129344466,0.003194750248240733,0.0027889306221127964,0.015888616284000744,0.05133186547511117,0.004959964390725863,0.0009143237121542713,536.5144152311877,0.0,23163,2280.505473136902
